id;time;data
[248];0;59179
[184];0;58917
[164];0;58982
[168];0;58720
[216];0;58851
[256];0;59048
[200];0;58851
[280];0;58786
[176];0;57999
[272];0;57868
[240];0;57868
[208];0;57868
[232];0;58851
[264];0;58917
[224];0;58851
[192];0;58982
[SUM];0;938541
[184];1;60359
[272];1;55378
[200];1;59376
[208];1;55837
[224];1;58130
[176];1;55575
[240];1;55640
[264];1;59441
[232];1;59441
[168];1;59769
[164];1;58458
[248];1;60555
[280];1;60359
[216];1;60293
[192];1;58130
[256];1;58458
[SUM];1;935199
[248];2;58327
[200];2;54723
[280];2;58327
[216];2;58196
[224];2;58720
[240];2;53477
[232];2;54788
[176];2;53477
[272];2;53608
[168];2;54985
[264];2;55181
[208];2;53608
[184];2;58327
[192];2;58917
[164];2;59310
[256];2;59179
[SUM];2;903152
[224];3;55902
[248];3;57213
[184];3;56754
[216];3;57344
[176];3;53871
[168];3;56623
[264];3;56295
[272];3;54133
[232];3;56492
[240];3;54198
[208];3;54133
[200];3;57541
[280];3;57344
[192];3;55378
[164];3;55837
[256];3;55575
[SUM];3;894632
[184];4;58589
[248];4;58786
[224];4;58130
[232];4;56492
[240];4;55181
[200];4;56623
[264];4;56754
[272];4;55181
[208];4;55247
[168];4;56558
[176];4;55312
[216];4;58655
[280];4;58589
[256];4;57999
[164];4;58065
[192];4;58065
[SUM];4;914227
[176];5;54788
[280];5;58524
[184];5;58458
[216];5;58524
[224];5;58327
[248];5;58720
[272];5;54788
[192];5;58327
[208];5;54591
[232];5;56361
[240];5;54788
[264];5;56295
[168];5;56164
[200];5;56033
[164];5;58393
[256];5;58393
[SUM];5;911475
[264];6;58851
[224];6;57934
[280];6;59113
[184];6;59245
[248];6;59048
[216];6;58917
[192];6;57934
[256];6;57803
[164];6;58065
[272];6;56361
[240];6;56361
[168];6;58851
[208];6;56033
[176];6;56361
[200];6;58786
[232];6;59179
[SUM];6;928842
[280];7;59113
[184];7;59048
[168];7;56689
[208];7;55312
[224];7;57606
[248];7;58851
[256];7;57410
[192];7;57475
[272];7;55509
[264];7;54723
[200];7;56492
[232];7;55247
[176];7;53150
[240];7;55706
[216];7;58720
[164];7;57410
[SUM];7;908460
[184];8;58130
[200];8;56492
[248];8;58130
[232];8;56361
[272];8;55247
[264];8;56492
[168];8;56623
[176];8;53281
[240];8;54854
[208];8;55640
[216];8;57213
[280];8;58262
[256];8;58196
[164];8;57606
[224];8;58393
[192];8;58196
[SUM];8;909115
[224];9;60948
[208];9;56361
[192];9;60948
[256];9;61145
[240];9;53936
[200];9;57868
[232];9;57803
[168];9;58196
[272];9;56820
[264];9;58196
[176];9;56492
[184];9;39780
[280];9;64618
[248];9;64684
[216];9;64946
[164];9;60883
[SUM];9;933626
[280];10;58262
[272];10;56623
[264];10;57999
[176];10;56558
[232];10;58327
[248];10;58589
[168];10;58065
[208];10;56754
[200];10;57934
[240];10;54657
[216];10;58130
[184];10;55247
[256];10;58655
[192];10;58589
[164];10;58589
[224];10;58655
[SUM];10;921633